shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
20-0,1,52.230100,21.011500,0
20-0,2,52.232000,21.008000,150
20-0,3,52.234500,21.003000,320
20-0,4,52.233000,20.999600,480
20-0,5,52.231000,21.001000,620
20-0,6,52.229500,21.002500,760
20-0,7,52.228700,21.003400,850
20-1,1,52.228700,21.003400,0
20-1,2,52.229500,21.002500,90
20-1,3,52.231000,21.001000,230
20-1,4,52.233000,20.999600,370
20-1,5,52.234500,21.003000,530
20-1,6,52.232000,21.008000,700
20-1,7,52.230100,21.011500,850
