route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
M1,{{DZIS}}:C,M1:KAB,Kabaty,0,
M2,{{DZIS}}:C,M2:BRO,Bródno,0,
128,{{DZIS}}:C,128/1,Dworzec Centralny,0,
128,{{WCZORAJ}}:C,128/N,Dworzec Centralny,0,
128,{{JUTRO}}:SbS,128/Sb,Dworzec Centralny,0,
N16,{{JUTRO}}:SbS,N16/1,Bemowo,0,
521,{{DZIS}}:C,521/1,Zachodnia,0,
S2,{{DZIS}}:C,S2/1,Lotnisko Chopina,0,
20,{{DZIS}}:C,20-wd-0-1,Dworzec Centralny,0,
20,{{DZIS}}:C,20-wd-0-2,Dworzec Centralny,0,
20,{{DZIS}}:C,20-wd-0-3,Dworzec Centralny,0,
20,{{DZIS}}:C,20-wd-0-4,Dworzec Centralny,0,
20,{{DZIS}}:C,20-wd-0-5,Dworzec Centralny,0,
20,{{DZIS}}:C,20-wd-0-6,Dworzec Centralny,0,
20,{{DZIS}}:C,20-wd-1-1,Centrum,1,
20,{{DZIS}}:C,20-wd-1-2,Centrum,1,
20,{{DZIS}}:C,20-wd-1-3,Centrum,1,
20,{{DZIS}}:C,20-wd-1-4,Centrum,1,
20,{{DZIS}}:C,20-wd-1-5,Centrum,1,
20,{{DZIS}}:C,20-wd-1-6,Centrum,1,
20,{{JUTRO}}:SbS,20-sa-0-1,Dworzec Centralny,0,
20,{{JUTRO}}:SbS,20-sa-0-2,Dworzec Centralny,0,
20,{{JUTRO}}:SbS,20-sa-0-3,Dworzec Centralny,0,
20,{{JUTRO}}:SbS,20-sa-0-4,Dworzec Centralny,0,
20,{{JUTRO}}:SbS,20-sa-1-1,Centrum,1,
20,{{JUTRO}}:SbS,20-sa-1-2,Centrum,1,
20,{{JUTRO}}:SbS,20-sa-1-3,Centrum,1,
20,{{JUTRO}}:SbS,20-sa-1-4,Centrum,1,
20,{{WCZORAJ}}:NdS,20-su-0-1,Dworzec Centralny,0,
20,{{WCZORAJ}}:NdS,20-su-0-2,Dworzec Centralny,0,
20,{{WCZORAJ}}:NdS,20-su-0-3,Dworzec Centralny,0,
20,{{WCZORAJ}}:NdS,20-su-1-1,Centrum,1,
20,{{WCZORAJ}}:NdS,20-su-1-2,Centrum,1,
20,{{WCZORAJ}}:NdS,20-su-1-3,Centrum,1,
