trip_id,stop_sequence,stop_id,arrival_time,departure_time,pickup_type,drop_off_type,shape_dist_traveled
M1:KAB,1,7014M:P1,05:00:00,05:00:00,0,0,0
M1:KAB,2,100201,05:12:00,05:12:00,0,0,12000
20/1,1,100101,12:00:00,12:00:30,0,0,0
20/1,2,700201,12:06:00,12:06:00,0,0,900
20/2,1,700201,12:20:00,12:20:00,0,0,0
20/2,2,100101,12:26:00,12:26:00,0,0,900
128/1,1,100102,12:03:00,12:03:00,0,0,0
128/1,2,500801,12:15:00,12:15:00,0,0,2400
128/N,1,100102,25:10:00,25:10:00,0,0,0
128/N,2,500801,25:22:00,25:22:00,0,0,2400
N16/1,1,100102,24:30:00,24:30:00,0,0,0
N16/1,2,500801,24:48:00,24:48:00,0,0,2400
521/1,1,100104,15:40:00,15:40:00,0,0,0
521/1,2,500801,15:58:00,15:58:00,0,0,3600
S2/1,1,100103,08:00:00,08:00:00,0,0,0
S2/1,2,500801,08:11:00,08:11:00,0,0,3300
